run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,num_verified_wins,num_high_confidence,num_medium_confidence,num_leaked,num_false_correct,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_best_guess_sim,avg_secret_keeper_accuracy,verified_layer1_agreement,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch3936-seed9-4228,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,2,2,0,0,0,0.333,0.178,0.96,0.685,0.544,0.205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.444,0.444,3.889,0.585,1.0,0.889,0.244,0.0,,0.0,,
slurm-batch3933-seed1-4103,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,2,2,0,0,0,0.333,0.25,0.994,0.665,0.562,0.316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.889,1.333,5.222,0.59,0.994,0.889,0.2413,0.0,,0.0,,
slurm-batch3933-seed10-4140,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,5,5,4,3,1,1,0,0.556,0.367,1.0,0.657,0.524,0.344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.667,0.444,4.111,0.607,1.0,0.889,0.2363,0.0,,0.0,,
slurm-batch3933-seed2-4104,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,6,6,6,4,2,0,0,0.667,0.428,0.994,0.656,0.615,0.329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.778,0.111,2.889,0.759,1.0,1.0,0.2494,0.0,,0.0,,
slurm-batch3933-seed3-4117,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,6,6,4,3,1,1,0,0.667,0.378,0.913,0.659,0.561,0.288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.556,0.778,4.333,0.588,1.0,0.778,0.2521,0.0,,0.0,,
slurm-batch3933-seed4-4118,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,2,1,1,0,0,0.333,0.189,0.944,0.665,0.531,0.387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.889,0.667,4.556,0.55,1.0,0.889,0.2593,0.0,,0.0,,
slurm-batch3933-seed5-4122,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,2,1,1,0,1,0.333,0.189,0.984,0.659,0.493,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.889,0.0,3.889,0.459,1.0,0.889,0.234,0.0,,0.0,,
slurm-batch3933-seed6-4123,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,4,4,2,2,0,0,0,0.444,0.25,1.0,0.647,0.592,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.889,1.333,4.222,0.591,1.0,0.778,0.2679,0.0,,0.0,,
slurm-batch3933-seed7-4129,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,4,4,2,1,1,0,0,0.444,0.161,1.0,0.666,0.419,0.381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,0.889,4.667,0.48,1.0,0.778,0.2413,0.0,,0.0,,
slurm-batch3933-seed8-4130,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,3,2,1,0,0,0.333,0.233,1.0,0.653,0.547,0.297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.778,1.111,4.889,0.581,1.0,1.0,0.2534,0.0,,0.0,,
